Quad,FishArea,Lat,Long,UTMx,UTMy
1,14C,49.32,-124.23,410300,5463900
2,17C,49.31,-124.13,417100,5463000
3,17C,49.31,-124.07,422000,5462900
4,17C,49.31,-124.,426800,5462800
5,17C,49.31,-123.94,431600,5462800
6,17C,49.31,-123.87,436300,5462700
7,17C,49.31,-123.81,441000,5462700
8,29C,49.31,-123.74,445600,5462600
9,29C,49.31,-123.68,450300,5462600
10,29C,49.31,-123.61,455300,5462500
11,29C,49.31,-123.54,460100,5462500
12,29C,49.31,-123.48,464900,5462500
13,29C,49.31,-123.41,469500,5462400
14,28C,49.33,-122.9,506700,5464800
15,29C,49.31,-123.35,474300,5462400
16,29C,49.31,-123.28,479200,5462400
17,28C,49.31,-123.22,483900,5462600
18,28C,49.27,-123.15,488400,5458600
19,28C,49.28,-123.21,484000,5459100
20,29C,49.27,-123.28,479100,5457800
21,29C,49.27,-123.35,474300,5457800
22,29C,49.27,-123.41,469500,5457800
23,29C,49.27,-123.48,464800,5457800
24,29C,49.27,-123.54,460100,5457800
25,29C,49.27,-123.61,455200,5457800
26,29C,49.27,-123.68,450300,5457800
27,17C,49.27,-123.74,445600,5457900
28,17C,49.27,-123.81,440900,5457900
29,17C,49.27,-123.87,436200,5457900
30,17C,49.27,-123.94,431500,5458000
31,17C,49.27,-124.,426800,5458000
32,17C,49.27,-124.09,420200,5458000
33,17C,49.23,-123.95,430600,5454000
34,17C,49.23,-123.87,436200,5453200
35,17C,49.23,-123.81,440900,5453200
36,17C,49.23,-123.74,445500,5453100
37,29C,49.22,-123.68,450300,5453100
38,29C,49.22,-123.61,455200,5453000
39,29C,49.22,-123.54,460000,5453000
40,29C,49.22,-123.48,464700,5452900
41,29C,49.22,-123.41,469400,5452900
42,29C,49.22,-123.35,474200,5452900
43,29C,49.22,-123.28,479100,5452800
44,29C,49.22,-123.22,483400,5452000
45,29C,49.18,-123.22,483500,5447800
46,29C,49.18,-123.28,479000,5447900
47,29C,49.18,-123.35,474100,5447900
48,29C,49.18,-123.42,469400,5447900
49,29C,49.18,-123.48,464700,5448000
50,29C,49.18,-123.55,460000,5448000
51,29C,49.18,-123.61,455100,5448000
52,17C,49.18,-123.68,450200,5448100
53,17C,49.18,-123.74,445600,5448300
54,17C,49.18,-123.88,436000,5447700
55,17C,49.13,-123.7,448400,5441900
56,29C,49.13,-123.61,455100,5442900
57,29C,49.13,-123.55,459900,5442900
58,29C,49.13,-123.48,464600,5442900
59,29C,49.13,-123.42,469300,5442900
60,29C,49.13,-123.35,474100,5442900
61,29C,49.13,-123.28,479000,5442900
62,29C,49.13,-123.22,483800,5442800
63,29C,49.09,-123.22,483500,5438100
64,29C,49.09,-123.28,479000,5438100
65,29C,49.09,-123.35,474000,5438100
66,29C,49.09,-123.42,469200,5438100
67,29C,49.09,-123.48,464500,5438100
68,29C,49.09,-123.55,459800,5438200
69,29C,49.09,-123.62,454400,5438300
70,17C,49.09,-123.74,445700,5438100
71,17C,49.05,-123.7,448500,5433400
72,29C,49.05,-123.6,456000,5433900
73,29C,49.05,-123.55,459800,5433400
74,29C,49.05,-123.48,464500,5433400
75,29C,49.05,-123.42,469200,5433400
76,29C,49.05,-123.35,474000,5433400
77,29C,49.05,-123.28,478900,5433400
78,29C,49.05,-123.22,483500,5433400
79,29C,49.07,-123.17,487500,5435300
80,29C,49.01,-123.16,488100,5428700
81,29C,49.01,-123.22,483500,5428700
82,29C,49.01,-123.29,478900,5428700
83,29C,49.01,-123.35,473900,5428600
84,29C,49,-123.42,469100,5428600
85,29C,49,-123.48,464400,5428500
86,29C,49.01,-123.54,460000,5428800
87,17C,49,-123.62,454200,5428200
88,17C,49.01,-123.73,446700,5428700
89,17C,48.96,-123.73,446800,5423900
90,17C,48.95,-123.57,458000,5422000
91,29C,48.97,-123.49,464100,5424300
92,29C,48.96,-123.42,469100,5424000
93,29C,48.96,-123.35,473900,5424000
94,18C,48.96,-123.29,478800,5424000
95,7,48.96,-123.22,483500,5424000
96,7,48.96,-123.16,488100,5424000
97,7,48.98,-123.1,492300,5426300
98,7,48.96,-123.02,498300,5424100
99,29C,49.02,-123.01,498500,5430600
100,29C,49.05,-122.91,505900,5433800
101,29C,49,-122.83,512100,5428200
102,29C,49.01,-122.96,502700,5428800
103,29C,49.01,-122.89,507300,5428800
104,7,48.97,-122.96,502700,5424200
105,7,48.97,-122.89,507400,5424200
106,7,48.97,-122.83,512100,5424300
107,7,48.98,-122.76,516800,5425700
108,7,48.9,-122.77,516200,5416900
109,7,48.92,-122.83,512000,5419300
110,7,48.92,-122.89,507400,5419400
111,7,48.92,-122.96,502700,5419400
112,7,48.92,-123.02,497800,5419400
113,7,48.92,-123.09,492900,5419400
114,7,48.92,-123.16,488200,5419300
115,18C,48.92,-123.22,483500,5419300
116,18C,48.92,-123.29,478800,5419300
117,29C,48.92,-123.35,473900,5419400
118,29C,48.93,-123.41,469500,5420500
119,17C,48.91,-123.48,464700,5417500
120,17C,48.91,-123.65,452600,5417900
121,17C,48.86,-123.6,456000,5412800
122,17C,48.87,-123.44,467400,5414000
123,18C,48.84,-123.35,474200,5410700
124,29C,48.88,-123.29,478500,5414900
125,18C,48.88,-123.22,483500,5414300
126,18C,48.88,-123.16,488200,5414400
127,7,48.88,-123.09,492900,5414400
128,7,48.88,-123.02,497800,5414500
129,7,48.88,-122.96,502700,5414500
130,7,48.88,-122.89,507400,5414600
131,7,48.88,-122.83,512200,5414600
132,7,48.83,-122.75,517600,5409700
133,7,48.84,-122.83,512200,5409800
134,7,48.84,-122.89,507400,5409700
135,7,48.83,-122.96,502700,5409700
136,18C,48.83,-123.02,497800,5409600
137,18C,48.83,-123.09,492900,5409600
138,18C,48.83,-123.16,488200,5409500
139,18C,48.84,-123.22,483700,5410000
140,18C,48.8,-123.11,491900,5406000
141,18C,48.8,-123.02,497800,5406000
142,7,48.8,-122.96,502700,5405900
143,7,48.8,-122.89,507500,5405900
144,7,48.8,-122.83,512200,5405800
145,7,48.8,-122.75,518000,5405800
146,7,48.76,-122.69,522400,5401600
147,7,48.76,-122.76,517000,5400900
148,7,48.76,-122.83,512200,5401100
149,7,48.76,-122.89,507500,5401100
150,7,48.76,-122.96,502600,5401100
151,18C,48.76,-123.02,502600,5406000
152,18C,48.74,-123.08,493500,5399200
153,18C,48.73,-123.14,489400,5398600
154,18C,48.78,-123.22,483300,5403500
155,18C,48.79,-123.36,473800,5404800
156,18C,48.8,-123.56,458600,5405900
157,18C,48.71,-123.52,461600,5395300
158,19C,48.65,-123.5,462900,5389400
159,19C,48.57,-123.51,462500,5380600
160,18C,48.72,-123.44,467900,5396600
161,18C,48.73,-123.37,472500,5398500
162,18C,48.74,-123.3,477600,5399000
163,18C,48.71,-123.26,480700,5395300
164,7,48.7,-123.2,485200,5395000
165,7,48.69,-123.14,489500,5393300
166,7,48.68,-123.08,494000,5392900
167,7,48.64,-123.07,494300,5387500
168,7,48.62,-123.14,489700,5386200
169,7,48.62,-123.17,486900,5386000
170,7,48.65,-123.24,482300,5389300
171,19C,48.67,-123.31,477100,5391800
172,19C,48.67,-123.38,472200,5391100
173,19C,48.62,-123.36,473700,5385300
174,19C,48.63,-123.29,478200,5387000
175,19C,48.6,-123.24,482500,5384000
176,7,48.56,-123.21,484200,5378600
177,19C,48.56,-123.29,478900,5378600
178,19C,48.56,-123.34,475000,5378700
179,19C,48.51,-123.32,476300,5373500
180,19C,48.5,-123.25,481300,5373000
181,7,48.5,-123.17,487000,5372600
182,19C,48.44,-123.28,479300,5366000
183,19C,48.46,-123.19,485800,5367800
184,7,48.46,-123.1,492000,5367800
185,7,48.44,-123.03,497400,5365800
186,7,48.44,-122.93,504400,5365400
187,7,48.49,-122.97,501800,5370900
188,7,48.53,-122.95,503300,5376200
189,7,48.57,-122.85,510200,5380800
190,7,48.64,-122.87,508800,5388300
191,7,48.6,-122.97,502000,5383500
192,7,48.58,-123.03,497200,5381600
193,7,48.66,-123.01,498900,5389900
194,7,48.72,-123.01,498500,5396900
195,7,48.71,-122.92,505100,5396200
196,7,48.71,-122.82,512400,5395800
197,7,48.7,-122.75,517700,5395200
198,7,48.67,-122.74,518700,5390900
199,7,48.67,-122.68,523200,5391000
200,7,48.69,-122.63,526200,5394000
201,7,48.74,-122.59,529700,5399200
202,7,48.74,-122.52,534500,5399400
203,7,48.68,-122.52,534600,5392800
204,7,48.69,-122.57,530600,5393100
205,7,48.63,-122.55,532300,5387200
206,7,48.6,-122.47,538400,5383500
207,7,48.59,-122.55,532200,5382100
208,7,48.62,-122.65,525100,5385700
209,7,48.62,-122.75,518000,5385600
210,7,48.58,-122.75,517500,5381200
211,7,48.57,-122.64,525600,5380700
212,7,48.54,-122.53,533700,5376400
213,7,48.48,-122.51,534800,5370600
214,7,48.52,-122.65,525100,5374600
215,7,48.53,-122.74,518700,5375500
216,7,48.53,-122.83,511800,5376000
217,7,48.48,-122.83,511600,5370400
218,7,48.48,-122.76,516900,5370600
219,7,48.48,-122.69,521800,5370600
220,7,48.44,-122.69,522300,5366300
221,7,48.44,-122.76,516800,5366200
222,6,48.4,-122.69,522300,5361500
223,7,48.4,-122.76,517200,5361500
224,7,48.4,-122.83,512300,5361400
225,7,48.4,-122.89,507300,5361400
226,7,48.4,-122.96,502600,5361500
227,7,48.4,-123.03,497700,5361500
228,7,48.41,-123.09,492800,5362200
229,19C,48.41,-123.16,488100,5362200
230,19C,48.41,-123.23,483100,5362200
231,19C,48.4,-123.29,478600,5361800
232,19C,48.4,-123.39,471600,5361600
233,19C,48.41,-123.45,466900,5362100
234,19C,48.36,-123.5,463400,5356600
235,19C,48.36,-123.43,468600,5356600
236,19C,48.36,-123.36,473400,5356600
237,19C,48.36,-123.29,478200,5356600
238,19C,48.36,-123.23,483100,5356600
239,7,48.36,-123.16,488100,5356600
240,7,48.36,-123.09,492800,5356600
241,7,48.36,-123.03,497700,5356600
242,7,48.36,-122.96,502600,5356600
243,7,48.36,-122.89,507400,5356600
244,7,48.36,-122.83,512300,5356700
245,6,48.36,-122.76,517200,5356700
246,6,48.36,-122.69,522000,5356800
247,6,48.32,-122.71,520900,5352000
248,6,48.31,-122.76,517200,5351900
249,6,48.31,-122.83,512300,5351800
250,7,48.31,-122.89,507400,5351800
251,7,48.31,-122.96,502600,5351800
252,7,48.31,-123.03,497700,5351800
253,7,48.31,-123.09,492900,5351700
254,7,48.31,-123.16,488100,5351700
255,19C,48.31,-123.23,483100,5351700
256,19C,48.31,-123.29,478200,5351700
257,19C,48.31,-123.36,473400,5351700
258,19C,48.31,-123.43,468600,5351700
259,19C,48.31,-123.5,463500,5351700
260,20C,48.31,-123.56,459100,5351400
261,20C,48.31,-123.62,454300,5351400
262,20C,48.31,-123.7,449100,5351300
263,20C,48.31,-123.76,444500,5351800
264,20C,48.35,-123.72,447000,5356000
265,20C,48.35,-123.82,439700,5355500
266,20C,48.31,-123.82,439700,5351800
267,20C,48.32,-123.89,434900,5351900
268,20C,48.36,-123.89,434900,5356500
269,20C,48.36,-123.96,429900,5356600
270,20C,48.32,-123.96,429900,5352000
271,20C,48.32,-124.03,425000,5352000
272,20C,48.36,-124.03,425100,5356700
273,20C,48.39,-124.02,425800,5360500
274,20C,48.4,-124.09,420100,5361800
275,20C,48.36,-124.09,420300,5356800
276,20C,48.32,-124.09,420200,5352100
277,5,48.32,-124.16,415300,5352200
278,20C,48.36,-124.16,415400,5356900
279,20C,48.4,-124.16,415400,5361500
280,20C,48.44,-124.2,412100,5365800
281,20C,48.4,-124.23,410600,5361600
282,20C,48.36,-124.23,410500,5357000
283,5,48.32,-124.23,410500,5352300
284,5,48.28,-124.23,410500,5347600
285,5,48.28,-124.16,415300,5347400
286,5,48.27,-124.09,420100,5347400
287,5,48.27,-124.03,425000,5347300
288,5,48.27,-123.96,429900,5347300
289,20C,48.27,-123.89,434900,5347200
290,20C,48.27,-123.82,439700,5347200
291,20C,48.27,-123.76,444500,5347200
292,20C,48.27,-123.69,449300,5347100
293,20C,48.27,-123.63,454000,5347100
294,20C,48.27,-123.56,458700,5347100
295,19C,48.27,-123.5,463500,5347100
296,19C,48.27,-123.43,468600,5347000
297,19C,48.27,-123.36,473400,5347000
298,19C,48.27,-123.29,478200,5347000
299,6,48.27,-123.23,483100,5347000
300,6,48.27,-123.16,488100,5347000
301,7,48.27,-123.09,492900,5347000
302,6,48.27,-123.03,497700,5347000
303,6,48.27,-122.96,502600,5347000
304,6,48.27,-122.89,507400,5347100
305,6,48.27,-122.82,512300,5347100
306,6,48.27,-122.76,517100,5347200
307,6,48.23,-122.77,516300,5342600
308,6,48.23,-122.82,512300,5342400
309,6,48.23,-122.89,507400,5342400
310,6,48.23,-122.96,502600,5342400
311,6,48.23,-123.03,497700,5342400
312,6,48.23,-123.09,492900,5342300
313,6,48.23,-123.16,488100,5342300
314,6,48.23,-123.23,483100,5342300
315,6,48.23,-123.29,478200,5342300
316,6,48.23,-123.36,473400,5342300
317,6,48.23,-123.43,468600,5342400
318,19C,48.23,-123.5,463500,5342400
319,20C,48.23,-123.56,458700,5342400
320,20C,48.23,-123.63,454000,5342400
321,6,48.23,-123.69,449200,5342400
322,6,48.23,-123.76,444400,5342500
323,5,48.23,-123.83,439600,5342500
324,5,48.23,-123.89,434900,5342600
325,5,48.23,-123.96,429800,5342600
326,5,48.23,-124.03,424900,5342600
327,5,48.23,-124.09,420100,5342700
328,5,48.24,-124.16,415600,5343600
329,5,48.25,-124.21,411700,5344700
330,5,48.2,-124.09,420500,5338800
331,5,48.19,-124.03,425000,5337900
332,5,48.18,-123.96,429900,5337300
333,5,48.18,-123.89,434900,5337000
334,5,48.18,-123.83,439500,5336800
335,6,48.18,-123.76,444300,5337000
336,6,48.18,-123.69,449200,5337100
337,6,48.19,-123.63,453900,5337600
338,6,48.19,-123.56,458700,5337600
339,6,48.15,-123.59,456300,5333500
340,6,48.15,-123.5,463500,5333100
341,6,48.19,-123.5,463500,5337600
342,6,48.19,-123.43,468500,5337600
343,6,48.14,-123.43,468600,5332300
344,6,48.14,-123.36,473400,5332000
345,6,48.19,-123.36,473400,5337600
346,6,48.19,-123.29,478200,5337600
347,6,48.14,-123.29,478200,5332100
348,6,48.14,-123.22,483500,5332800
349,6,48.19,-123.23,483200,5337600
350,6,48.19,-123.16,488000,5337700
351,6,48.19,-123.09,493000,5337600
352,6,48.15,-123.1,492400,5333200
353,6,48.08,-123.02,498100,5325700
354,6,48.14,-123.03,497700,5332700
355,6,48.19,-123.03,497700,5337600
356,6,48.19,-122.96,502600,5337600
357,6,48.14,-122.96,502600,5332800
358,6,48.1,-122.93,504900,5328300
359,6,48.04,-122.86,509500,5321200
360,6,48.14,-122.89,507500,5332800
361,6,48.19,-122.89,507400,5337600
362,6,48.19,-122.82,512300,5337600
363,6,48.15,-122.83,512200,5333100
364,6,48.17,-122.77,516500,5336000
365,9,48.16,-122.71,520300,5335100
366,8,48.41,-122.57,530900,5362100
367,8,48.36,-122.51,535000,5356600
368,8,48.32,-122.47,538000,5352300
369,8,48.31,-122.4,542900,5351400
370,8,48.27,-122.38,544300,5347100
371,8,48.27,-122.45,539200,5347300
372,8,48.27,-122.56,531400,5346700
373,8,48.23,-122.67,523900,5342000
374,8,48.23,-122.57,530800,5342500
375,8,48.18,-122.55,532400,5337000
376,8,48.21,-122.38,544500,5339900
377,8,48.17,-122.4,543200,5336100
378,8,48.13,-122.38,544400,5331200
379,8,48.12,-122.52,534600,5330000
380,8,48.06,-122.52,534700,5323100
381,8,48.1,-122.44,540000,5327700
382,8,48.08,-122.33,548200,5325700
383,8,48.06,-122.4,543200,5323200
384,8,48.02,-122.31,549800,5319100
385,8,48.01,-122.22,555900,5318200
386,8,47.96,-122.29,551400,5312100
387,9,48.12,-122.71,520500,5329700
388,9,48.13,-122.63,526200,5331600
389,9,48.09,-122.63,526300,5327100
390,9,48.05,-122.63,526500,5322500
391,9,48.04,-122.74,518100,5321300
392,9,48.01,-122.63,526800,5317900
393,9,47.96,-122.63,526500,5312900
394,9,47.98,-122.56,531700,5314200
395,9,47.93,-122.54,532700,5309500
396,9,47.95,-122.47,538400,5311000
397,9,47.9,-122.46,539100,5305200
398,9,47.89,-122.36,546200,5305000
399,9,47.85,-122.37,545500,5300400
400,9,47.85,-122.45,539800,5300100
401,9,47.81,-122.42,541500,5295200
402,10,47.76,-122.41,542200,5290700
403,10,47.72,-122.38,544400,5286000
404,10,47.72,-122.44,540400,5286000
405,10,47.72,-122.51,535000,5285500
406,10,47.68,-122.58,529800,5280800
407,10,47.68,-122.43,540700,5281300
408,10,47.63,-122.44,540600,5276300
409,10,47.59,-122.34,547300,5271000
410,10,47.59,-122.43,540900,5271800
411,10,47.56,-122.59,529700,5267800
412,10,47.54,-122.49,536900,5266100
413,10,47.55,-122.41,542200,5266600
414,11,47.5,-122.4,543200,5261700
415,11,47.46,-122.38,544900,5257200
416,11,47.41,-122.36,546300,5251500
417,11,47.46,-122.49,536800,5256700
418,11,47.37,-122.51,534900,5246400
419,11,47.35,-122.34,547300,5244800
420,11,47.33,-122.44,540300,5242800
421,11,47.28,-122.43,541300,5237000
422,11,47.29,-122.53,533800,5238400
423,13,47.25,-122.57,530600,5233000
424,13,47.32,-122.67,523400,5241700
425,13,47.25,-122.67,523500,5233100
426,13,47.18,-122.61,527900,5225200
427,13,47.12,-122.7,521300,5218700
428,13,47.16,-122.73,519400,5223800
429,13,47.19,-122.82,512900,5226500
430,13,47.11,-122.91,506000,5218400
431,13,47.14,-123.,499800,5221000
432,13,47.22,-122.92,505000,5229800
433,13,47.3,-122.81,513200,5239300
434,12,47.4,-122.9,506600,5249800
435,12,47.36,-123.01,499000,5245200
436,12,47.36,-123.13,490400,5245700
437,12,47.44,-123.09,492700,5254500
438,12,47.53,-123.02,498400,5264700
439,12,47.6,-122.94,503800,5272400
440,12,47.65,-122.84,511600,5278300
441,12,47.71,-122.84,511000,5284100
442,12,47.77,-122.81,513700,5291700
443,12,47.72,-122.74,518400,5286000
444,12,47.8,-122.68,522800,5295000
445,9,47.85,-122.63,526100,5300400
